10000 20000
820 5637 41052810 
820 3928 71361947 
821 6546 31033734 
821 6919 19143144 
821 9615 11505205 
821 8891 26321767 
822 1403 56547719 
822 2654 3364377 
822 2948 14982802 
822 4255 7294567 
823 7988 81409773 
823 2263 33313702 
823 6936 10060808 
824 8733 31400700 
824 2187 98933160 
824 4951 44516541 
825 7157 83590735 
825 2654 38095166 
826 2459 16281239 
826 8169 83291155 
826 7026 8281591 
826 6936 87868519 
826 7215 37903560 
827 2133 47315514 
827 3586 25441511 
828 2730 74143084 
828 9819 99804553 
828 4683 16579557 
828 1453 13892779 
828 1658 670291 
829 8396 31134362 
829 4721 94895687 
829 5030 89247824 
829 1998 62226292 
829 3262 49998815 
830 4607 73710512 
830 3217 35033213 
830 6719 50924154 
831 1884 18769045 
831 7116 8300937 
831 8075 87970058 
832 2636 73110321 
832 9005 32735582 
833 2422 74541837 
834 6400 82515599 
834 4063 48225142 
834 8073 52742141 
834 3349 45918798 
834 9178 2773984 
835 4478 72127661 
835 4466 36145544 
835 7194 7551740 
835 1586 42107487 
836 9088 9724652 
836 1738 69166065 
836 5030 56015785 
837 2464 60964443 
837 7843 67122138 
838 2025 35449766 
838 7758 37347717 
839 4254 44326241 
839 8169 71796732 
839 3903 41282452 
840 6915 40880762 
840 3139 53857810 
840 7130 98526053 
840 6711 84909518 
840 8543 23862202 
840 4239 48383938 
841 5773 47380598 
841 4220 7030543 
841 2116 58402304 
842 7344 89444094 
842 8412 40730992 
842 4572 98113458 
842 6844 1549715 
843 1197 55476764 
843 3807 36487813 
843 6865 20823909 
844 7421 40180223 
844 3466 20018223 
844 4021 48397036 
844 8988 88810131 
844 6487 68526040 
844 9683 9108522 
845 5151 90393405 
845 3217 90034377 
845 9215 20851765 
845 3506 38645999 
845 9416 89313219 
845 4351 21414495 
846 3752 15528662 
846 5071 90410679 
846 5299 91597320 
846 1962 73140663 
847 3384 24843699 
847 8745 7849892 
847 8860 84179273 
847 9823 61149658 
847 4960 37116035 
847 1440 2789142 
848 2754 12473293 
849 9765 32309055 
849 8847 838754 
849 3013 41788961 
849 7257 95982226 
849 1334 4903521 
849 9096 94303561 
850 3776 16073860 
850 8117 96805640 
851 1211 47370009 
851 6727 71575096 
852 6090 69938229 
852 5406 60435662 
852 3962 75807935 
852 3378 53811423 
853 1411 36111986 
853 5551 76821645 
853 6020 45604884 
853 9989 32916175 
856 5595 60126621 
856 9384 18591279 
856 7456 954618 
856 5086 94142322 
857 4187 76300656 
857 9293 57849130 
857 3605 80910504 
857 8151 78617249 
857 5538 43220318 
857 9846 40805427 
858 3436 31395481 
858 1843 13138708 
859 8734 72105845 
859 3106 78759975 
859 8732 79522732 
860 2737 54861172 
860 4503 4880100 
860 7098 21112759 
861 4673 70408254 
862 6678 41718995 
862 8418 97159896 
862 7879 39852498 
862 8604 55104021 
863 9443 8920853 
864 8262 50158728 
864 6086 63880683 
864 7960 62349746 
864 7514 21500713 
865 4160 77105101 
866 8603 25269661 
866 8109 46320971 
866 7477 26396671 
866 5550 31325709 
867 8753 14756035 
867 2768 29808427 
867 2848 19192136 
867 9879 94582982 
867 8323 42261628 
868 1811 99872528 
868 1115 49335978 
868 5164 25812520 
868 3029 88111340 
869 3720 17342909 
869 8013 66856907 
869 8136 12733730 
870 3085 7204833 
870 8175 3249722 
870 9587 36301645 
870 4654 7984396 
870 3450 3306942 
871 2491 58911616 
872 4320 63989628 
872 5079 51701121 
872 4932 4014572 
873 9938 85804379 
874 2806 51652329 
874 3634 77246269 
874 9425 45827053 
874 3712 56935226 
875 8444 97335037 
875 8650 45036231 
875 5343 99202902 
875 9849 4111964 
876 9325 13873430 
876 2328 42210430 
876 6967 10783042 
877 8858 82153280 
877 3275 99581470 
877 6772 29134704 
877 3697 51417268 
877 9953 65658884 
877 7571 13391588 
877 4817 25039769 
878 3998 79745306 
878 1826 87158737 
878 8550 28747380 
878 5357 60997165 
879 1869 24229292 
879 2118 2367435 
879 2926 83315026 
879 1760 70886958 
879 2769 62315914 
880 8605 98865995 
880 3298 8435771 
880 1289 66140693 
880 7674 59243905 
881 7012 40441544 
881 9159 36810736 
881 3916 53081977 
881 8894 77487710 
882 7222 9209096 
882 4616 28369716 
882 9958 54084786 
882 1421 25929719 
883 1481 81584147 
883 6675 39465840 
883 1557 74655141 
884 7392 19884226 
884 2923 89993582 
884 8931 38538741 
884 5129 81074116 
885 1173 68672823 
885 9162 91276116 
885 6387 73990541 
885 6940 41699901 
886 3624 31678102 
886 5258 57417036 
886 2466 21391082 
887 9474 21371291 
887 9167 50158674 
887 8777 93225278 
887 8783 39379419 
887 7936 26359405 
887 7190 13691849 
887 7201 58900095 
888 2068 51899369 
888 4277 33689018 
888 1728 99765920 
889 6085 92120541 
890 2464 6329342 
892 8242 45992325 
892 3927 57256568 
892 8492 57012179 
892 7873 55913817 
892 6616 17653730 
893 8347 31997283 
893 4513 61968079 
893 5081 93738394 
893 7772 68986625 
894 9141 69476275 
894 5455 75616075 
895 6956 1255226 
896 9240 42446163 
896 3804 93224582 
896 3778 92554890 
896 6489 53523784 
896 8798 31847096 
896 3304 53036263 
897 3066 19219914 
897 1109 98238704 
897 3441 53179328 
897 5340 14223048 
897 1763 92518174 
898 1792 62013057 
898 4325 66134510 
899 3406 44920928 
900 7244 32259372 
900 5437 7209910 
901 6205 43590 
901 5100 86024803 
901 6727 42567468 
901 8618 64808791 
901 5828 76758010 
902 7715 20969648 
902 4230 70167734 
903 7931 62164571 
903 9727 49891350 
903 6969 98592664 
904 5981 32452558 
904 8615 72711393 
904 7636 17804882 
904 6735 22881279 
904 2332 15906385 
904 9290 16640582 
905 6105 34368604 
905 6744 52034007 
905 7195 50400318 
906 8906 72197586 
906 2864 92779898 
906 5728 28351607 
907 8947 7761112 
907 7945 25589520 
908 3502 82923781 
908 4856 27644744 
908 4358 11939402 
908 7068 56468810 
908 8078 51182162 
909 5907 13226374 
909 4701 64291299 
910 8265 92933260 
910 8750 37556714 
910 3865 15119292 
910 2618 77259605 
910 9718 88906974 
910 5822 61152426 
910 6678 54859114 
911 7949 64505031 
911 6815 75116932 
911 9197 24645319 
911 8856 63207430 
912 9403 99565611 
912 3435 92989870 
912 1612 40233416 
912 4976 24884105 
912 2433 70212215 
912 2800 29868211 
912 5887 58730012 
912 2471 79860280 
912 8698 48016212 
912 9401 31078310 
912 9913 80712947 
912 7368 42584482 
912 9546 78075954 
913 4681 23162638 
913 9519 71873427 
913 3559 10114426 
913 8006 39688754 
913 1678 93523404 
914 4848 36110902 
914 9292 58358440 
914 7988 58727838 
914 6852 56650965 
914 3359 39814935 
915 4491 34895268 
915 4719 14819145 
915 5827 33045307 
915 5178 64135877 
916 4790 32984895 
916 7067 55960214 
916 8751 37851440 
916 5027 42334144 
917 7392 54397525 
917 6452 60085897 
917 1010 54303743 
917 2358 35604740 
917 1206 8755935 
918 2446 25562668 
918 5132 80390580 
918 2606 95993032 
918 8833 67228150 
919 1529 70279012 
919 3165 57369165 
920 1340 35683368 
920 1955 65708506 
920 7294 8752967 
922 5325 45304570 
922 9485 13495433 
922 6052 1783883 
923 7195 49105957 
923 5997 9247902 
923 2710 18101688 
923 3132 12622860 
924 6660 51800857 
924 2624 42871307 
925 3077 58870764 
925 6526 98541135 
925 9456 51322224 
925 5467 60622353 
925 2591 26922818 
926 9269 28070934 
926 1489 45539513 
926 8824 15149349 
926 3029 34117199 
926 8121 8339093 
927 1724 3459053 
927 1082 9388327 
927 9277 57154628 
927 2903 42675834 
927 9409 76904967 
927 7851 39989122 
927 1311 18631265 
927 9845 46177405 
928 6708 55299245 
928 6091 7436252 
929 7701 60720930 
929 2196 26383026 
929 2344 59814582 
929 8740 14401927 
929 9011 98911019 
930 1940 55560741 
930 5133 53371857 
930 6108 7807987 
930 7493 72881562 
931 4930 69934541 
931 3075 23408504 
931 4764 93145244 
931 7979 7173512 
932 7825 74978742 
932 6264 95462064 
932 6008 90543172 
932 6668 76683609 
932 5351 13349325 
933 4332 63141519 
933 2986 24364954 
934 3592 44143294 
935 5441 82252841 
935 4054 75196166 
935 2172 14326975 
936 2171 40613790 
936 1298 2079259 
936 4300 13213793 
937 7872 24610650 
937 1523 27494801 
937 5314 46606035 
937 8965 74444857 
937 6012 61444439 
938 8570 65769714 
938 2560 80791617 
938 2798 35314163 
938 1711 30546473 
939 2864 25951035 
939 7314 9192125 
939 8392 55757061 
939 9506 91628880 
939 8453 80026472 
939 4006 50266384 
939 1065 3784203 
939 4033 54001060 
939 1654 69925372 
940 7855 94516730 
940 1094 5399159 
940 7823 88590318 
940 9399 20557852 
941 3757 37269338 
941 1144 21419363 
941 8289 64922571 
942 4788 16635709 
942 1532 97940703 
942 5893 52000470 
943 4218 44278783 
943 4797 28457850 
943 6205 59301328 
943 9402 45570916 
944 3214 93849686 
944 3820 71623632 
944 7898 99450162 
944 5285 39016736 
944 2070 40777253 
944 3141 6020503 
944 5552 55777182 
944 2310 52327106 
945 5359 2553207 
945 9875 71094543 
945 1435 36210925 
946 1892 29135412 
946 6056 26166416 
946 7563 78287467 
947 9037 85546937 
947 3045 39766600 
947 8861 48092571 
947 5273 64880483 
947 3638 24816001 
947 2683 82486764 
948 6490 89843672 
948 4253 85791225 
948 6244 44436127 
948 3665 16102437 
948 6949 72745620 
948 8617 35784206 
948 4537 64833311 
948 3695 92929113 
949 4884 74911547 
949 6447 50840125 
950 2285 76884270 
950 9015 76359742 
951 2908 90068017 
951 4607 88382513 
951 7799 31617678 
951 3547 2691922 
952 4184 20055724 
952 5057 74862536 
952 9377 87913001 
952 6605 9118423 
952 6416 60771244 
952 7492 54461969 
953 8989 49342507 
953 7477 5284654 
953 5645 89159243 
953 7606 2733695 
953 6486 43428794 
953 7712 28654305 
953 9594 51008339 
954 5337 14072606 
954 3795 5526862 
954 3170 12364394 
955 1472 90268815 
955 1037 46651921 
956 9421 76117706 
957 3526 16163610 
957 6174 4595591 
957 8174 63111973 
957 2458 61868799 
958 8580 25260191 
958 3210 34715006 
958 5278 33843771 
959 2962 18116090 
959 1106 54711041 
959 9081 80354806 
960 8249 982554 
960 7361 60840749 
961 7628 65878873 
962 2648 65512191 
962 1117 91362336 
962 8747 80589844 
963 1786 40939349 
963 4724 87839509 
963 6328 57443836 
963 1934 10318904 
963 2896 79161218 
964 1846 99368492 
964 9393 14072600 
964 3475 33926567 
964 7985 72877268 
964 6263 32455133 
964 8112 37772924 
965 6599 57363719 
965 9179 67247891 
965 9569 53944590 
965 1336 54157555 
965 2148 80773321 
965 6030 90265275 
966 6203 23169089 
966 2906 97208455 
966 3531 20116679 
967 2835 90852930 
967 4354 45164225 
968 5691 66754284 
968 3533 12729342 
968 2761 95773534 
968 2678 38107890 
969 5751 45849885 
970 4794 72925653 
970 6379 55085088 
970 7523 37644605 
970 8438 49409156 
970 5115 94849200 
970 8327 93303912 
970 8897 74195483 
970 1165 89355728 
970 9821 34288259 
970 8169 64329948 
970 4447 87710047 
971 5122 75649800 
971 9715 80416866 
972 6387 1794430 
972 7910 95845916 
972 1393 35871459 
973 2326 13640959 
973 2336 22668595 
973 7948 63275972 
973 2088 17146834 
974 7885 80931387 
974 3915 49000726 
974 5710 99369612 
975 5839 38907354 
975 9399 60409637 
975 6573 75053663 
976 6077 28360377 
976 9596 35443832 
976 4993 39593874 
976 1241 91598104 
976 7339 93137316 
976 8062 99694693 
977 6800 15311420 
977 4741 24808995 
977 8201 9044015 
977 8294 34192892 
978 3522 50603782 
978 1258 88677829 
978 3284 59667559 
978 6623 48492949 
979 6129 37761810 
979 4226 847659 
979 4618 34999801 
980 5987 90878295 
980 5029 79832402 
980 5905 84648292 
980 6338 83430993 
980 9612 96068978 
981 4691 67608310 
981 3956 51194099 
981 9851 85385121 
981 4533 37889020 
981 7858 3338390 
982 1784 40285364 
982 4390 80127888 
983 1399 83591449 
983 7272 35802022 
983 9534 21895635 
983 7113 14174605 
983 3069 18059896 
983 2398 48403484 
984 4452 45913794 
984 4825 50561843 
984 2308 77835714 
985 4956 50971866 
985 5505 54835917 
985 8977 80271258 
985 1038 88607155 
986 9232 41811734 
986 4837 72750265 
986 6504 25329064 
986 7815 70907557 
986 5834 7543510 
987 4617 93988638 
987 9161 74684943 
987 7981 59567053 
987 4979 49422937 
987 2081 58369438 
988 4104 63168686 
988 7154 78625090 
988 6460 65319966 
988 5857 54155790 
988 5536 82510351 
988 9802 42919443 
988 8404 43310327 
988 9511 92170168 
988 7230 62849703 
988 3192 14929694 
988 8467 95133622 
988 9468 99291110 
988 7609 79077499 
989 1048 53418908 
989 2175 97042084 
989 2688 62406067 
989 7152 36369277 
990 4418 46986219 
990 7983 93666212 
991 8802 61424263 
991 2481 71861241 
991 3798 65079878 
992 5927 99429044 
992 4772 73421245 
992 2279 79311541 
993 3485 88493720 
993 2879 59184369 
994 3302 382613 
994 4742 23483080 
994 1371 24153636 
994 9039 10163844 
994 6635 30998206 
994 4575 51139032 
994 7922 80850792 
995 8647 47211196 
995 8672 74257061 
996 8873 52513944 
997 2072 86316038 
997 8754 67351344 
998 8531 11444694 
998 7428 21824686 
998 8229 44544583 
998 3063 28233903 
998 9278 29565953 
999 4618 53822155 
999 5335 87457070 
999 9516 73391119 
999 2903 69910710 
1000 5088 33965539 
1000 8768 52588459 
1000 8498 78220027 
1001 5857 56626183 
1001 7757 70710784 
1001 4982 2434120 
1002 5931 63733943 
1002 2875 23408217 
1002 2637 34228338 
1003 9145 54612657 
1003 1572 85545171 
1004 2678 80112929 
1004 9640 44573743 
1005 7750 73873432 
1005 4130 18661218 
1005 4782 60724325 
1005 7715 62627398 
1005 7479 98032301 
1006 4362 27078073 
1006 8668 77211728 
1006 8797 61939450 
1006 9269 7110470 
1006 2960 49956851 
1006 2430 64669469 
1007 8347 26986795 
1007 1414 81225253 
1007 2302 53298676 
1008 9273 73914298 
1008 3428 42222209 
1008 4188 40424368 
1008 2229 49442750 
1009 3358 97214230 
1009 6381 68562436 
1010 2612 82289252 
1010 6281 83279250 
1010 7633 51849221 
1010 9146 55798756 
1010 3215 34495044 
1010 9855 5578149 
1010 1940 66110138 
1010 1119 29898330 
1010 1515 10207413 
1011 9257 36092644 
1011 5071 40682608 
1011 9707 28688453 
1012 9055 13404256 
1012 4219 47893576 
1012 3604 77320887 
1012 9537 67049713 
1013 4342 8409870 
1013 9367 59902586 
1013 8740 19874644 
1014 4731 75811482 
1014 9343 44406899 
1015 9219 26311471 
1016 9523 19821424 
1016 8203 65774801 
1016 5863 42338214 
1017 7094 75290628 
1017 4531 6880654 
1017 7351 67979632 
1017 9401 79246580 
1017 3403 42210608 
1018 5391 62264069 
1018 6514 22166994 
1018 1685 41572992 
1019 7067 46321429 
1019 5877 33545427 
1019 1178 44884049 
1020 2982 81734498 
1020 6447 66182388 
1020 5588 34596162 
1020 9254 46081825 
1020 8592 73146469 
1020 3552 13457928 
1021 5456 64111123 
1021 9623 92024948 
1021 8589 11135458 
1021 6952 35077560 
1021 5093 75830486 
1021 9237 37787557 
1021 5875 73420286 
1022 8454 50969504 
1022 4794 87870107 
1022 3770 95488310 
1023 1960 11287678 
1023 4964 5430911 
1024 8660 41727545 
1024 7844 40871515 
1024 5849 8552796 
1024 4418 12941874 
1024 5048 28596603 
1025 8030 72476115 
1025 4069 24255524 
1025 4713 85477835 
1025 9790 5652750 
1026 6532 41136747 
1026 5416 36248659 
1026 5554 77354413 
1026 2740 67724948 
1026 9703 33761781 
1026 7052 42942961 
1027 7791 62488941 
1027 2727 72682299 
1027 9666 65833505 
1027 7021 80781721 
1027 2427 79339427 
1027 5752 54105280 
1027 2098 32849637 
1027 1506 2690666 
1028 1690 63642567 
1028 8384 18641758 
1029 9871 19333143 
1029 3664 46113302 
1030 3913 86935822 
1030 5584 23464174 
1031 3839 74914824 
1031 6068 23862772 
1031 2902 18799416 
1031 3774 44691823 
1031 6974 8159431 
1032 5402 13328805 
1032 7967 47515309 
1033 3970 25601765 
1034 3148 87420935 
1034 5864 23689418 
1034 9500 60565621 
1034 6648 24389106 
1034 9883 41509429 
1034 7298 72233051 
1035 1442 88759833 
1035 6971 13881144 
1035 8295 35320757 
1035 4943 55870389 
1036 2860 12170379 
1036 4280 14960191 
1036 1351 98554391 
1036 4880 87658276 
1036 8890 75155868 
1037 4369 54825421 
1037 9451 9111888 
1037 1716 60793650 
1037 1903 90821130 
1038 3433 5991765 
1038 9971 3412123 
1038 1370 2001976 
1039 3348 77444080 
1039 8339 43146781 
1039 5980 90606070 
1040 5478 5186935 
1040 4176 39078778 
1040 2417 64157007 
1040 2363 86337307 
1041 3826 35973534 
1041 6250 62858240 
1041 9734 8779327 
1041 1669 89561548 
1042 6300 61675423 
1042 7750 31696733 
1042 6260 80246367 
1042 2512 89810483 
1042 3871 24318545 
1042 3848 94645733 
1043 7150 23386244 
1043 9306 96182174 
1043 5343 13787838 
1043 4759 11092039 
1044 7590 38780945 
1044 2685 10190297 
1044 1279 96694750 
1044 3134 87528385 
1044 7271 10213418 
1044 7805 45165821 
1044 3978 34787828 
1045 2679 32095226 
1045 2992 6727513 
1045 3816 30366140 
1045 9510 53980288 
1046 2006 17294604 
1046 1282 69417194 
1046 6980 49115154 
1047 5838 39802400 
1047 1786 40786303 
1047 6536 95165695 
1047 1390 84567857 
1047 3335 21156294 
1047 9235 41760620 
1048 1316 30906643 
1048 5508 33971216 
1048 1577 15868933 
1048 6857 90645243 
1048 6528 24146623 
1048 4541 50214334 
1048 5661 82625561 
1048 5029 10299126 
1048 5966 21188687 
1048 9980 93027952 
1048 2150 42613175 
1050 9717 12964771 
1050 7776 61184526 
1050 1317 87105077 
1051 6590 77891238 
1051 6136 82351617 
1051 4811 73362452 
1051 9310 93863454 
1051 8811 68256530 
1052 3923 92152792 
1052 6778 69457313 
1052 5764 25013812 
1053 5560 7751664 
1053 1438 51862360 
1053 8058 51710397 
1054 8399 17376091 
1055 3550 86598376 
1055 1178 85052515 
1055 4839 70768659 
1055 7141 30943030 
1055 5650 85768670 
1055 1278 50603468 
1056 7179 24059195 
1056 2605 65839242 
1056 7467 37703340 
1056 7129 8642155 
1056 4612 79378770 
1057 8919 9608755 
1057 3925 85821736 
1057 2881 97389971 
1057 1876 38453116 
1057 1171 2392486 
1057 4443 46344156 
1057 2560 50875426 
1058 6649 70228894 
1058 9911 58772915 
1058 6225 17627939 
1058 4621 50035392 
1058 9041 70591062 
1058 7352 67071187 
1058 9502 53511364 
1058 5775 82580080 
1058 5368 48404066 
1059 3960 55833164 
1059 3640 47845766 
1060 7520 98469027 
1060 9508 99430115 
1060 9430 22410256 
1060 5761 84507232 
1060 9944 92112981 
1061 3679 91899218 
1061 3809 11330433 
1062 8433 29823598 
1062 1472 74529150 
1062 6048 48939753 
1062 2725 54246033 
1062 7106 52292916 
1062 4120 74450888 
1063 8113 42377643 
1063 5770 83076056 
1063 4212 35965259 
1064 7038 27833069 
1064 9974 93310444 
1064 8680 43665002 
1064 3188 30557607 
1065 9607 29831946 
1066 5594 29448304 
1066 1394 98454880 
1066 3778 61989597 
1066 8037 37762226 
1067 4525 35967630 
1067 1951 88666230 
1068 9014 38143808 
1068 7377 71945323 
1068 7410 45268956 
1068 5189 11501482 
1068 4808 51431913 
1069 4523 93181654 
1069 3154 2458869 
1069 6204 75590896 
1070 4260 47532965 
1070 1079 55665470 
1070 1370 21925495 
1071 5996 91234586 
1071 6410 26136565 
1071 6484 33235650 
1072 7119 56735025 
1072 5345 58377372 
1072 8532 42078621 
1073 5291 74714218 
1073 5082 88895127 
1073 5022 17417543 
1073 3978 63473975 
1073 9911 92254707 
1074 4286 53653895 
1074 1552 70539292 
1075 8247 61177422 
1075 1287 49097527 
1075 3118 98055990 
1075 4490 99185374 
1075 1288 36091750 
1076 2320 42396282 
1076 8593 76933775 
1076 1529 71811345 
1076 9678 70560104 
1076 5331 84012103 
1077 3652 83579406 
1077 5673 21004591 
1077 9584 64945552 
1077 5379 47575295 
1077 8424 92104057 
1077 4115 16869611 
1078 1358 11241717 
1078 7513 60508207 
1078 2224 8275898 
1078 7204 54417434 
1078 4170 92065015 
1079 7851 51994866 
1079 5059 9635758 
1079 3458 20520367 
1079 5133 15300574 
1079 5718 55686441 
1080 2986 32167408 
1080 3073 82798933 
1081 6214 26489009 
1081 8115 9794596 
1081 7218 95795226 
1082 5227 73518093 
1082 2801 62547886 
1082 2642 74695601 
1083 1139 38527547 
1083 8646 86788761 
1083 3748 72262414 
1083 6411 80410582 
1083 7570 34094026 
1083 7287 31135959 
1083 2979 43511197 
1083 5142 4701913 
1084 5047 30340605 
1084 9793 93805310 
1085 2854 31821981 
1085 6370 16834766 
1085 4015 54770763 
1085 1441 27226309 
1085 7905 14136108 
1085 7080 18655576 
1086 6249 67405931 
1086 3187 78195075 
1086 3326 40459474 
1086 3929 96799896 
1086 6264 7164349 
1087 8835 14990144 
1087 4395 53442054 
1087 2619 21783557 
1087 5825 17704367 
1088 7159 55726367 
1088 2477 21401649 
1089 5457 30754927 
1089 7387 78811752 
1089 9015 32912537 
1089 7546 21750655 
1090 6300 13118715 
1090 8818 97774548 
1090 8117 82439114 
1090 8322 4689409 
1091 4847 82150157 
1091 4399 96853582 
1091 3681 11513337 
1091 1978 65064280 
1092 7387 99329764 
1092 6667 71868021 
1092 1297 31272629 
1092 5937 42949382 
1093 3191 76762750 
1093 3766 82935741 
1093 9789 25914076 
1093 2010 80149322 
1094 4395 23046653 
1095 9474 54116683 
1096 6166 88813486 
1096 7436 18919352 
1097 4509 67310759 
1098 1425 73683914 
1098 4343 27749863 
1098 7038 79556176 
1098 5369 94202513 
1098 5509 84917679 
1098 1856 21899104 
1098 3895 19786172 
1099 8063 34483526 
1099 1915 17360818 
1099 9111 26683901 
1100 8055 96161614 
1100 5298 76660486 
1100 1356 16979755 
1100 6394 5049407 
1100 3625 8585699 
1100 7732 13937992 
1101 8091 21044142 
1101 5595 13452734 
1101 2875 26391987 
1101 4298 72485855 
1101 9668 45516775 
1102 6393 54432046 
1103 4609 87479564 
1103 4280 98987357 
1103 1152 19279335 
1103 7242 55201910 
1104 6158 89920400 
1104 2652 87186474 
1105 3018 61799442 
1105 4937 90278937 
1106 9573 56774101 
1106 9908 41018439 
1106 7392 58065443 
1106 5020 44276544 
1107 2997 70067862 
1107 5749 1360 
1108 3103 44765449 
1108 3527 52733261 
1109 3017 24481119 
1110 7881 33817441 
1110 3607 25769368 
1111 9499 85927151 
1111 7012 86197991 
1111 7382 23157426 
1111 8959 591319 
1111 6195 54122567 
1112 6484 64331589 
1112 2452 13856868 
1112 5541 41112348 
1112 3889 65206033 
1112 3545 66826335 
1112 3677 71782120 
1112 1323 8596703 
1113 8838 15185744 
1113 2678 57784676 
1114 6774 35577849 
1114 1499 58971904 
1114 4397 42784364 
1115 6260 91797014 
1115 3437 47725613 
1115 2483 78028601 
1116 5403 40225668 
1116 4030 12519092 
1116 4637 59408694 
1117 7692 26605104 
1117 6987 42074780 
1117 4103 75548714 
1117 7332 31480660 
1117 9047 89131668 
1117 1703 9738287 
1118 3430 17494505 
1119 9950 49369351 
1119 8777 18896031 
1119 1285 44980373 
1119 1933 81614573 
1120 1344 35774939 
1120 5842 35427942 
1120 1415 46566232 
1120 7476 69513791 
1121 2912 16822049 
1121 9235 40850418 
1123 8356 85101461 
1123 4556 41116011 
1123 2495 93196735 
1123 5692 39102656 
1123 9716 36191933 
1123 7058 35742915 
1124 2461 50458148 
1124 6903 16323399 
1124 7548 7118675 
1124 8165 65657898 
1125 8077 21782911 
1126 5021 79630400 
1126 1318 68762277 
1126 9801 57503944 
1126 2026 57244085 
1127 3474 30326219 
1127 3231 13799229 
1127 4595 7296195 
1127 9169 48802965 
1127 3935 96610713 
1128 6483 76621561 
1128 3004 98091559 
1128 1784 3906497 
1128 7652 33393510 
1129 2379 4368427 
1129 6646 58786671 
1130 5598 51455823 
1130 9434 69440050 
1131 6315 57225153 
1131 6330 98010234 
1132 4800 77970621 
1132 3191 74487600 
1132 1911 97200134 
1132 3311 47285542 
1132 4271 68202824 
1133 2497 24780533 
1133 5702 98442869 
1134 5856 60537950 
1134 3868 84249498 
1134 7647 1685078 
1134 9539 85333181 
1134 7425 55692479 
1135 7299 4931453 
1135 1902 25380341 
1135 5028 35048987 
1135 4170 65056967 
1135 3110 15486178 
1135 7534 9709001 
1135 9436 12672624 
1136 3672 30227906 
1136 2764 68164420 
1136 7872 64095427 
1136 5147 34602961 
1136 8309 87338072 
1136 1545 45067012 
1136 7603 85498338 
1137 8762 28816241 
1137 6364 34322670 
1137 6191 70336390 
1137 9694 31067547 
1138 9032 57857679 
1138 2102 79977194 
1138 2689 73823962 
1139 3100 8984767 
1139 7938 64870740 
1139 3978 16405019 
1140 8186 11078031 
1140 3490 36261820 
1140 8646 31705369 
1140 4295 85646299 
1140 9670 65455854 
1140 5808 37887228 
1140 7518 25067135 
1140 2489 80281953 
1140 1493 78652342 
1141 1316 90137176 
1141 4950 14643490 
1141 4153 91905000 
1142 4287 65315752 
1142 4185 8483209 
1142 3799 82734323 
1142 9127 52444666 
1142 7194 34989038 
1143 6524 69954347 
1143 3849 98204026 
1144 6260 26062996 
1144 2002 95885983 
1144 9829 20775343 
1144 9987 75444383 
1144 5287 49398761 
1144 1482 9446340 
1144 6244 44178375 
1144 3977 72575767 
1144 9205 49452704 
1146 4174 94048612 
1146 2635 64526991 
1146 1885 74465912 
1146 1351 25215363 
1146 4391 24075808 
1146 6730 71973250 
1147 8914 51484485 
1147 8738 45037539 
1148 2269 15313053 
1148 2502 43677498 
1148 2395 23467682 
1148 1615 55284624 
1148 5871 26562130 
1148 4715 70041540 
1148 4551 60241201 
1148 4095 89286299 
1149 6474 422862 
1149 5742 4054300 
1149 2807 85202223 
1150 8498 55376586 
1150 8600 4020729 
1150 3668 51753014 
1150 5125 80888359 
1151 2437 71195578 
1151 7503 95577437 
1151 3093 94563250 
1152 6677 40872394 
1152 4301 37814881 
1152 2170 60563579 
1153 9329 87804653 
1153 5985 92788372 
1153 8360 16341592 
1153 5170 82025123 
1154 2565 61486325 
1154 3363 1197371 
1154 8274 73632947 
1154 6087 93451747 
1155 2261 49070381 
1155 4502 74157859 
1155 1410 95366796 
1155 9510 77847371 
1156 4057 14256736 
1156 2451 9328315 
1156 9007 5555292 
1156 8718 47864103 
1156 2685 56469763 
1156 4527 45208990 
1156 3829 69496126 
1157 7799 71079627 
1157 9987 59996090 
1157 6961 33561518 
1157 1825 53152455 
1157 6354 97549479 
1157 8467 31651166 
1158 6927 2411746 
1158 9603 70658784 
1158 9094 82805672 
1158 7601 85219665 
1158 9610 10649570 
1159 8650 93762256 
1159 5690 11972363 
1159 6230 19876672 
1159 7493 8128272 
1159 4306 45330121 
1160 5174 13693872 
1160 3624 90631380 
1160 2065 25894493 
1160 1359 66187226 
1161 5986 82668653 
1161 6792 45171735 
1162 7895 67015581 
1163 4124 66583378 
1163 9597 27256213 
1163 5942 23430398 
1164 6916 35641451 
1164 5645 7679535 
1165 7860 65610200 
1165 2108 765005 
1165 6560 69455540 
1165 4941 22473741 
1166 4992 70769686 
1166 6166 65308891 
1167 3092 82405128 
1167 5174 2508440 
1167 6134 3681574 
1168 7969 18999830 
1169 6789 50626009 
1170 2276 83416845 
1170 5770 43040555 
1170 2326 57587948 
1170 5556 85831477 
1171 2394 90173538 
1172 7885 69838544 
1172 1233 83244774 
1172 9750 57714727 
1172 2663 43780796 
1172 2452 14482380 
1173 4421 28127713 
1173 8748 49106383 
1173 4172 89145003 
1174 3096 80701720 
1174 5519 43821553 
1174 9449 24832776 
1176 3353 60098115 
1176 2507 2662632 
1176 9781 94477194 
1176 5589 72859542 
1177 3506 7582053 
1177 5538 65334551 
1177 6354 86831784 
1178 4968 35042086 
1178 1977 98318837 
